2022-11-29 16:14:45,319 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 55 - Starting FhirEtlApplication using Java 17.0.5 on June4693-450G7 with PID 9232 (C:\Users\june.wu\Desktop\cameltest\fhir_etl_ui\fhir_etl_test\target\classes started by June.Wu in C:\Users\june.wu\Desktop\cameltest\fhir_etl_ui\fhir_etl_test)
2022-11-29 16:14:45,322 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 631 - No active profile set, falling back to 1 default profile: "default"
2022-11-29 16:14:46,888 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 - Tomcat initialized with port(s): 8080 (http)
2022-11-29 16:14:46,898 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-29 16:14:46,899 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2022-11-29 16:14:46,910 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.69]
2022-11-29 16:14:47,058 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2022-11-29 16:14:47,058 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext 292 - Root WebApplicationContext: initialization completed in 1686 ms
2022-11-29 16:14:47,753 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8080"]
2022-11-29 16:14:47,773 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 - Tomcat started on port(s): 8080 (http) with context path ''
2022-11-29 16:14:47,821 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3058 - Apache Camel 3.19.0 (camel-2) is starting
2022-11-29 16:14:47,825 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3220 - Routes startup (started:0)
2022-11-29 16:14:47,825 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3249 - Apache Camel 3.19.0 (camel-2) started in 50ms (build:11ms init:36ms start:3ms)
2022-11-29 16:14:47,830 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 61 - Started FhirEtlApplication in 3.028 seconds (JVM running for 3.347)
2022-11-29 16:14:51,802 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-29 16:14:51,802 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet 525 - Initializing Servlet 'dispatcherServlet'
2022-11-29 16:14:51,802 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet 547 - Completed initialization in 0 ms
2022-11-29 16:17:10,925 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3454 - Apache Camel 3.19.0 (camel-2) is shutting down (timeout:45s)
2022-11-29 16:17:10,926 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 166 - Routes stopped (stopped:0)
2022-11-29 16:17:10,928 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3593 - Apache Camel 3.19.0 (camel-2) shutdown in 2ms (uptime:2m23s)
2022-11-29 16:17:22,338 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 55 - Starting FhirEtlApplication using Java 17.0.5 on June4693-450G7 with PID 19224 (C:\Users\june.wu\Desktop\cameltest\fhir_etl_ui\fhir_etl_test\target\classes started by June.Wu in C:\Users\june.wu\Desktop\cameltest\fhir_etl_ui\fhir_etl_test)
2022-11-29 16:17:22,341 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 631 - No active profile set, falling back to 1 default profile: "default"
2022-11-29 16:17:23,230 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 - Tomcat initialized with port(s): 8080 (http)
2022-11-29 16:17:23,238 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-29 16:17:23,238 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2022-11-29 16:17:23,238 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.69]
2022-11-29 16:17:23,343 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2022-11-29 16:17:23,343 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext 292 - Root WebApplicationContext: initialization completed in 959 ms
2022-11-29 16:17:23,887 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8080"]
2022-11-29 16:17:23,903 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 - Tomcat started on port(s): 8080 (http) with context path ''
2022-11-29 16:17:23,943 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3058 - Apache Camel 3.19.0 (camel-2) is starting
2022-11-29 16:17:23,947 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3220 - Routes startup (started:0)
2022-11-29 16:17:23,947 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3249 - Apache Camel 3.19.0 (camel-2) started in 40ms (build:6ms init:31ms start:3ms)
2022-11-29 16:17:23,951 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 61 - Started FhirEtlApplication in 1.95 seconds (JVM running for 2.257)
2022-11-29 16:17:24,009 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-29 16:17:24,009 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet 525 - Initializing Servlet 'dispatcherServlet'
2022-11-29 16:17:24,010 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet 547 - Completed initialization in 1 ms
2022-11-29 16:20:29,567 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3454 - Apache Camel 3.19.0 (camel-2) is shutting down (timeout:45s)
2022-11-29 16:20:29,568 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 166 - Routes stopped (stopped:0)
2022-11-29 16:20:29,570 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3593 - Apache Camel 3.19.0 (camel-2) shutdown in 2ms (uptime:3m5s)
2022-11-29 16:20:43,175 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 55 - Starting FhirEtlApplication using Java 17.0.5 on June4693-450G7 with PID 19008 (C:\Users\june.wu\Desktop\cameltest\fhir_etl_ui\fhir_etl_test\target\classes started by June.Wu in C:\Users\june.wu\Desktop\cameltest\fhir_etl_ui\fhir_etl_test)
2022-11-29 16:20:43,177 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 631 - No active profile set, falling back to 1 default profile: "default"
2022-11-29 16:20:44,082 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 - Tomcat initialized with port(s): 8080 (http)
